"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000101784",279.923769716924,1.32892688979128,0.091897929825067,3.57926332418377,0.000344564144084875,0.00241501180098599
"ENSMUSG00000100432",415.633276122924,2.93252937627593,0.10160957136056,19.0191667024988,1.18349527967183e-80,4.6343324190671e-79
"ENSMUSG00000064302",6866.21125873317,-0.0251795864240633,0.0176734327430797,0,1,1
"ENSMUSG00000026466",5472.62051080734,-0.0478215490756874,0.0198160425706365,0,1,1
"ENSMUSG00000010609",355.714930931392,-1.3144004261495,0.0899020709403184,-3.49714331228488,0.000470269124235819,0.00325269477596441
"ENSMUSG00000055676",172.431766243693,1.69729682731772,0.122910716573491,5.67319796643438,1.40156103458547e-08,1.31848586046389e-07
"ENSMUSG00000079140",792.095948725666,-0.423364606149204,0.0534210744573588,0,1,1
"ENSMUSG00000038855",2964.37927327779,-1.01321064746882,0.0296407283040792,-0.445692404494707,0.655819451919998,1
"ENSMUSG00000045658",2712.12602620458,-1.38019182348133,0.0329481376703572,-11.5390990314873,8.37983214816679e-31,1.69225783788416e-29
"ENSMUSG00000050565",7724.89781860717,-0.124986486396174,0.0167440340862329,0,1,1
"ENSMUSG00000037035",24694.1467419994,-1.64186153927705,0.0114895301484802,-55.8649075273064,0,0
"ENSMUSG00000005886",4899.18294057409,-0.4767664802349,0.0215859805621696,0,1,1
"ENSMUSG00000004451",5552.3390042738,-0.241242007119294,0.0198915665023859,0,1,1
"ENSMUSG00000098923",1882.05024529931,-0.514733002447109,0.0349546382272071,0,1,1
"ENSMUSG00000101171",46.1471896828795,2.36616746565104,0.268017308330997,5.09731059594048,3.4451282540605e-07,2.97326566284515e-06
"ENSMUSG00000026496",11623.3983847747,1.03778093178206,0.0138649387262517,2.72492598258146,0.00643159036998894,0.0407780694986104
"ENSMUSG00000025935",4645.56708121761,0.388056007320181,0.0213185813628429,0,1,1
"ENSMUSG00000025937",1770.08019837491,-0.071922159823357,0.0348822973837497,0,1,1
"ENSMUSG00000097711",75.8435564363191,2.95184645979664,0.23900131903708,8.16667651735352,3.1700143019257e-16,4.16908552657355e-15
"ENSMUSG00000101523",5254.4049647701,0.0630785018668367,0.0201351630261709,0,1,1
"ENSMUSG00000026596",6810.52328077988,-0.124277811619398,0.0178318936235423,0,1,1
"ENSMUSG00000026219",15128.9886307278,-0.011752132076261,0.0118999317277422,0,1,1
"ENSMUSG00000073633",702.053078468335,-1.04320869531854,0.061184350139467,-0.706205021709745,0.480060647934353,1
"ENSMUSG00000026104",1583.7857503532,-0.434518803749953,0.0378170129156441,0,1,1
"ENSMUSG00000026383",1180.90948483883,-0.373260090616937,0.0435638173456206,0,1,1
"ENSMUSG00000060519",3048.04866379345,-0.0339309630204846,0.0265354668282795,0,1,1
"ENSMUSG00000060743",6375.73594950951,-0.74824933667633,0.0194912855568269,0,1,1
"ENSMUSG00000073485",46.3283143921345,0.0348300657695061,0.21463797674639,0,1,1
"ENSMUSG00000038806",4088.01751901111,-0.340514063220321,0.0233522449526544,0,1,1
"ENSMUSG00000103979",58.5920251531367,3.50778596524521,0.314590272459604,7.9715941171297,1.56640532412712e-15,2.00979535189594e-14
"ENSMUSG00000064281",12089.4619684214,-0.339413325688879,0.0135787511337809,0,1,1
"ENSMUSG00000033557",11345.339648475,-0.311848939253276,0.0139869436785797,0,1,1
"ENSMUSG00000046057",933.584719106705,3.96928075714898,0.0898898294836492,33.0324439839892,2.78003491057298e-239,2.4479830250614e-237
"ENSMUSG00000025932",3169.96152206411,-1.01125060085644,0.0286550704749041,-0.392621643219819,0.694598951702717,1
"ENSMUSG00000026520",5589.19875950446,0.836098021160546,0.0197154743091126,0,1,1
"ENSMUSG00000081201",1775.63083379978,0.509348123667659,0.0345352442397617,0,1,1
"ENSMUSG00000082193",9503.89845424936,0.250417862992776,0.0149106308650761,0,1,1
"ENSMUSG00000089716",35.6519888056249,-0.116343629129716,0.246345504077304,0,1,1
"ENSMUSG00000026384",978.095216693536,0.654608668326039,0.0467237634782854,0,1,1
"ENSMUSG00000091876",217.757521578253,0.849208367804798,0.0999583047026965,0,1,1
"ENSMUSG00000036975",1073.82118277326,-0.360682955349453,0.0456371174934817,0,1,1
"ENSMUSG00000073737",680.772905901918,1.6588154283092,0.0615064461252811,10.7113232809334,9.0065114066881e-27,1.65154284748222e-25
"ENSMUSG00000026519",3631.80031019469,0.595328943731465,0.0241998059453886,0,1,1
